Estado;"""(""";""")""";""",""";""":""";""";""";"""?""";"""[""";"""]""";"""boolean""";"""character""";"""declarations""";"""end Functions""";"""endDeclararions""";"""endFunction""";"""endProgram""";"""funcType""";"""functionName""";"""functions""";"""intConst""";"""integer""";"""paramType""";"""program""";"""programName""";"""real""";"""string""";"""varType""";"""variable""";"""void""";Command;intConst
160;[];[];[];[];[];[];[];[];[165];[166];[];[];[];[];[];[];[];[];[];[163];[];[];[];[162];[164];[];[];[167];[];[]
162;[];[];[];[168];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
163;[];[];[];[168];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
164;[];[];[];[168];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
165;[];[];[];[168];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
166;[];[];[];[168];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
167;[];[];[];[168];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
168;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[169];[];[];[]
169;[];[182];[175];[];[159];[];[171];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
17;[];[];[16];[];[32];[];[];[];[];[];[];[];[60];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
171;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[172];[];[];[];[];[];[];[];[];[];[];[]
172;[];[];[];[];[];[];[];[173];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
173;[];[182];[175];[];[159];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
175;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[176];[];[];[]
176;[];[182];[175];[];[159];[];[178];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
178;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[179];[];[];[];[];[];[];[];[];[];[];[]
179;[];[];[];[];[];[];[];[180];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
18;[];[];[];[];[];[];[];[19];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
180;[];[182];[175];[];[159];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
181;[];[182];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
182;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[183];[]
183;[];[];[];[];[];[];[];[];[];[];[];[];[];[184];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
184;[];[];[];[];[124];[];[];[];[];[];[];[185];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
185;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[186];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
*186;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
19;[];[];[];[20];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
2;[];[];[];[];[];[];[];[];[];[];[3];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
20;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[21];[];[];[]
21;[];[];[];[];[];[];[22];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
22;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[23]
23;[];[];[];[];[];[];[];[24];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
24;[];[];[26];[];[32];[];[];[];[];[];[];[];[60];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
26;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[27];[];[];[]
27;[];[];[];[];[];[];[28];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
28;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[29]
29;[];[];[];[];[];[];[];[30];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
3;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[4];[];[];[];[]
30;[];[];[26];[];[32];[];[];[];[];[];[];[];[60];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
32;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[33];[];[];[];[]
33;[];[];[];[];[];[];[];[];[38];[39];[];[];[];[];[];[];[];[];[];[36];[];[];[];[35];[37];[];[];[40];[];[]
35;[];[];[];[42];[];[];[47];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
36;[];[];[];[42];[];[];[47];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
37;[];[];[];[42];[];[];[47];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
38;[];[];[];[42];[];[];[47];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
39;[];[];[];[42];[];[];[47];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
4;[];[];[];[];[];[];[];[];[9];[10];[];[];[];[];[];[];[];[];[];[7];[];[];[];[6];[8];[];[];[11];[];[]
40;[];[];[];[42];[];[];[47];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
42;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[43];[];[];[]
43;[];[];[45];[];[32];[];[];[];[];[];[];[];[60];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
45;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[46];[];[];[]
46;[];[];[45];[];[32];[];[];[];[];[];[];[];[60];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
47;[];[];[];[];[];[];[];[48];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
48;[];[];[];[49];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
49;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[50];[];[];[]
50;[];[];[];[];[];[];[51];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
51;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[52]
52;[];[];[];[];[];[];[];[53];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
53;[];[];[55];[];[32];[];[];[];[];[];[];[];[60];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
55;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[56];[];[];[]
56;[];[];[];[];[];[];[57];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
57;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[58]
58;[];[];[];[];[];[];[];[59];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
59;[];[];[55];[];[32];[];[];[];[];[];[];[];[60];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
6;[];[];[];[13];[];[];[18];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
60;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[186];[];[];[62];[];[];[];[];[];[];[];[];[];[];[];[]
62;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[63];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
63;[];[];[];[];[];[];[];[];[68];[69];[];[];[];[];[];[];[];[];[];[66];[];[];[];[65];[67];[];[];[70];[];[]
65;[];[];[];[71];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
66;[];[];[];[71];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
67;[];[];[];[71];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
68;[];[];[];[71];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
69;[];[];[];[71];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
7;[];[];[];[13];[];[];[18];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
70;[];[];[];[71];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
71;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[72];[];[];[];[];[];[];[];[];[];[];[];[];[]
72;[73];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
73;[];[];[];[];[];[119];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[75];[];[];[];[];[];[];[];[];[]
75;[];[];[];[];[];[];[];[];[80];[81];[];[];[];[];[];[];[];[];[];[78];[];[];[];[77];[79];[];[];[82];[];[]
77;[];[];[];[83];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
78;[];[];[];[83];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
79;[];[];[];[83];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
8;[];[];[];[13];[];[];[18];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
80;[];[];[];[83];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
81;[];[];[];[83];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
82;[];[];[];[83];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
83;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[84];[];[];[]
84;[];[120];[90];[];[97];[];[86];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
86;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[87];[];[];[];[];[];[];[];[];[];[];[]
87;[];[];[];[];[];[];[];[88];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
88;[];[120];[90];[];[97];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
9;[];[];[];[13];[];[];[18];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
90;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[91];[];[];[]
91;[];[120];[90];[];[97];[];[93];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
93;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[94];[];[];[];[];[];[];[];[];[];[];[]
94;[];[];[];[];[];[];[];[95];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
95;[];[120];[90];[];[97];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
97;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[98];[];[];[];[];[];[];[];[];[]
98;[];[];[];[];[];[];[];[];[103];[104];[];[];[];[];[];[];[];[];[];[101];[];[];[];[100];[102];[];[];[105];[];[]
